Localidades rurales que rebasan AGEB,,,,
Marco Geoestadístico 2024,,,,
CVE_ENT,CVE_MUN,CVE_LOC,NOMLOC,CVE_AGEB
10,011,0033,San Antonio del Cuervo (El Cuervo),0366
10,012,0003,Los Ángeles,0838
10,012,0022,Juan E. García,0819
10,012,0026,La Mina (El Sarnoso),0791
10,012,0027,Monterrey,0857
10,012,0044,San Jacinto,0823
10,012,0049,Sapioris,0861
10,012,0193,Nazareno de Abajo,0908
10,012,0465,Colonia Buenos Aires,0857
10,012,0560,Dolores (La Borrega),0838
10,012,0561,La Goleta,0838
10,012,0606,Fortuna de Rancho Güero,0838
10,013,0048,Francisco Montes de Oca (El Zorrillo),1439
10,013,0177,Estación Yermo,1157
10,014,0005,La Joya de Atotonilco (Atotonilco),0902
10,014,0042,El Troncón,0921
10,015,0019,Paso Nacional,0350
10,016,0031,Lauro del Villar,0220
10,016,0047,Revolución Social,0254
10,017,0028,Ojos Azules (Campo Alegre),0618
10,018,0011,Emiliano Martínez (Torres),0691
10,018,0046,Santa Gertrudis (Tules),0545
10,019,0135,Macho Bayo,0133
10,019,0173,Bajío de Vacas (Bajío de Atocha),0203
10,020,0014,General Lázaro Cárdenas,0276
10,020,0020,Pánuco de Coronado,0261
10,021,0015,Ignacio Zaragoza (San Pablo),0220
10,021,0032,Yerbanís,0305
10,022,0003,Los Ángeles,0247
10,022,0006,Damián Carmona,0247
10,022,0009,La Joya,0285
10,023,0689,Estación Coyotes (José María Morelos),0969
10,024,0021,Los Ladrillos,0237
10,024,0026,Palmitos,0294
10,026,0087,San Luis de Villa Corona,1085
10,026,0444,Neveros,1193
10,027,0004,La Barranca,0366
10,027,0032,Santo Niño,0347
10,028,0017,Pueblo Nuevo Francisco de Ibarra (El Crucero),0274
10,028,0018,Francisco Primo Verdad (Menores de Abajo),019A
10,028,0022,José María Patoni (Menores de Arriba),0236
10,030,0032,Santo Domingo,0249
10,032,0014,Atotonilco,0879
10,032,0018,Lozano Zavala (La Campana),0296
10,032,0044,El Encinal,0296
10,032,0091,Providencia,0296
10,032,0097,Rincón de Huajupa,0991
10,032,0102,El Salvador,0296
10,032,0119,San Julián,0915
10,032,0142,San Pedro de Tenerapa,1218
10,032,0382,El Pino,0915
10,032,0707,Presa de la Máquina,0972
10,034,0136,Chapotán,0750
10,036,0009,Banco Nacional,0789
10,036,0038,Morelos (La Loma Yermo) [Granja],0628
10,036,0107,San Miguel del Real,0740
10,036,0115,Nombre de Dios,0736
10,036,0119,La Sierrita,076A
10,038,0003,Graceros,0054
10,038,0007,San Francisco Javier,0054
10,038,0009,San José de las Corrientes,0139
10,038,0012,Estación Vicente Guerrero,0143
10,039,0011,Campo Limpio,0102
10,039,0013,Valle de Flores (Cantarranas),0117
10,039,0022,Fuente del Llano (Santiaguillo),0121
10,039,0027,Jardín de Flores,0117
10,039,0037,Nueva Esperanza (Cuernavaca),0140
10,039,0064,Lugar de Rosas (El Toboso),0102
10,039,0136,Corona del Valle (San Juan Nuevo),009A
10,039,0144,Campo de Gracia,0102
10,039,0184,Hogar de Flores,0102
11,001,0040,Las Estacas,0078
11,001,0056,Horta (San Antonio de Horta),0025
11,001,0058,Estación Joaquín,0025
11,001,0073,Marfil,0025
11,001,0175,La Tinaja de Negrete,0078
11,001,0221,San Rafael de Horta,0025
11,001,0247,San José de González,0044
11,001,0248,Miraflores,0044
11,002,0003,Agua Caliente,0145
11,002,0006,Arroyo de la Luna,0198
11,002,0009,La Cañada,015A
11,002,0012,La Concepción,0018
11,002,0022,Los Fresnos,0075
11,002,0023,Gaytán del Refugio,0037
11,002,0028,Jaral del Refugio,0037
11,002,0046,Pantaleón,0179
11,002,0050,Las Partidas,0060
11,002,0054,La Presa de Santa Inés,0198
11,002,0056,Providencia de San Agustín,0018
11,002,0063,San Agustín,0018
11,002,0067,San Diego de Alcalá (Hacienda de San Diego),0060
11,002,0088,La Soledad,0179
11,002,0104,Puerto Ferrer,0018
11,002,0106,Las Trancas (Los Milagros),0075
11,003,0007,Alcocer,0227
11,003,0015,Santuario de Atotonilco,0053
11,003,0024,Begoña del Progreso,0208
11,003,0035,Calderón,0212
11,003,0055,El Carmen,0034
11,003,0067,La Cieneguita,0053
11,003,0070,Clavellinas (Clavellinas Coyotes),0157
11,003,0078,Corralejo de Arriba,0142
11,003,0103,Fajardo de Bocas,0227
11,003,0104,Fajardo de Támbula,0231
11,003,0105,Flores de Begoña,0180
11,003,0121,El Herrero,0246
11,003,0132,Los Juárez,002A
11,003,0141,Loma de Cocinas (San Andrés),002A
11,003,0154,Marroquín de Abajo,0053
11,003,0158,La Medina,002A
11,003,0165,La Minita,0034
11,003,0195,Pantoja,0180
11,003,0210,Presita de Santa Rosa,0049
11,003,0236,Rancho Viejo,0015
11,003,0240,Los Ricos de Abajo,0015
11,003,0274,San Isidro de la Cañada de la Virgen,0195
11,003,0294,San Miguel Viejo,0053
11,003,0368,Presa Allende,0208
11,003,0376,San José de Allende,0161
11,003,0539,Zirándaro [Fraccionamiento],0142
11,003,0576,San Valente,0142
11,003,0587,La Esperanza,0053
11,003,0975,Otomí [Residencial],0053
11,003,0991,San José de la Posta,0227
11,003,0996,San Miguel [Polígono Empresarial],0142
11,004,0014,Cerro Prieto,0065
11,004,0081,El Talayote,0050
11,005,0011,Coachiti,0062
11,005,0309,Amexhe [Parque Industrial],0062
11,005,0313,El Grande [Parque Industrial],0077
11,006,0010,El Durazno,0017
11,006,0016,El Mezquital,0040
11,007,0078,Los Aguirre,0014
11,007,0082,Arreguín de Abajo,0315
11,007,0091,La Cruz,0315
11,007,0107,Jáuregui,0033
11,007,0121,San José de Mendoza,0029
11,007,0135,Presa Blanca,0014
11,007,0155,San Isidro de Elguera,0029
11,007,0156,San Isidro de la Concepción,0014
11,007,0164,San Luis Rey,0029
11,007,0176,Santa Rosa de Lima,032A
11,007,0245,La Trinidad,0033
11,007,0423,Condominio Campestre las Huertas,032A
11,007,0704,Villas de Elguera [Fraccionamiento],0071
11,007,0742,Cuadritos [Parque Industrial],0014
11,007,0746,Ferropuerto del Bajío [Parque Industrial],032A
11,008,0004,Ex-Hacienda de Atotonilquillo,0045
11,008,0035,Charco Prieto,0030
11,008,0232,Santa María de Bolaños,0030
11,008,0312,Rancho Nuevo de Cerritos,0079
11,009,0012,Guadalupe (San Antonio de Guadalupe),0273
11,009,0026,Nopalera,0038
11,009,0029,Orduña de Abajo,0038
11,009,0042,San Jerónimo,0080
11,009,0167,Viñedos de San Miguel [Fraccionamiento],0080
11,010,0011,Piedra Larga,001A
11,010,0027,El Espinazo (Loma Bonita),001A
11,011,0017,Valencia de Fuentes,0017
11,011,0027,Manantiales,0017
11,011,0050,Santa Fe de la Purísima,0021
11,011,0056,El Zapote,0089
11,012,0014,Ojo de Agua,0014
11,012,0017,Platanar,0052
11,012,0052,La Regalada,0052
11,012,0054,Ejido Luz Mazas,0029
11,012,0099,Colonia Linda Vista,0052
11,012,0129,Unidad José Camacho,0029
11,013,0032,Morisquillas,0030
11,013,0038,Las Palmitas,0011
11,013,0055,San Agustín,0030
11,013,0056,San Rafael,0011
11,014,0004,Adjuntas del Río,0201
11,014,0052,Cerrito de Esteban,0061
11,014,0086,Don Sebastián,0150
11,014,0089,La Erre,0201
11,014,0100,El Gallinero,0057
11,014,0109,Guanajuatito,0201
11,014,0125,Jamaica (San Miguel de Jamaica),017A
11,014,0133,Santa Teresa de Jiricuichi,0061
11,014,0249,El Refugio de Trancas,0042
11,014,0277,San Elías,0019
11,014,0281,San Gabriel,0150
11,014,0359,La Ventilla,0146
11,014,0361,Las Yerbas,0023
11,014,0674,Carboneras,0019
11,014,0729,La Luz,0216
11,014,0809,Carretera a Guanajuato Kilómetro Uno (El Panteón),0057
11,014,0813,San Diego del Llanito,0146
11,014,0873,San Nicolás de la Presa,0057
11,014,0880,Colonia el Cedro,0057
11,014,0881,Ejido San José de Badillo,0061
11,015,0026,Cajones,0266
11,015,0104,San José del Rodeo,0270
11,015,0261,Cerrito Frío,0251
11,016,0017,Paso de Carretas,0032
11,017,0119,Purísima de Temascatío de Arriba,0044
11,017,0124,Ejido del Refugio (Los López),0294
11,017,0154,San Juan Temascatío,0059
11,017,0178,La Trinidad de Temascatío,0059
11,017,0187,Vista Hermosa,003A
11,017,0547,El Capulín de Yóstiro,0311
11,017,0844,Las Presitas,0063
11,017,0847,Apolo [Parque Industrial],0044
11,017,0851,Castro del Río [Parque Industrial Castro del Río],0044
11,017,0873,Los Pinos,0311
11,018,0011,Los Llanitos (El Ranchito),0018
11,019,0029,El Fresno,002A
11,019,0053,Ojo de Agua de Mendoza,0053
11,019,0073,El Rosario,0034
11,019,0084,San Ignacio (San Ignacio Mártir),002A
11,019,0087,San Juan de Peña,0049
11,020,0267,Los Arcos,0942
11,020,0335,Hacienda Arriba (San José de la Concepción),0035
11,020,0340,Ibarrilla,004A
11,020,0347,La Laborcita,0904
11,020,0365,Malagana (San Antonio del Monte),0938
11,020,0389,Ojo de Agua de los Reyes,004A
11,020,0405,Las Presitas,0088
11,020,0409,Puerta del Cerro,0088
11,020,0410,Puerta de San Germán (Morelos),0088
11,020,0412,El Ramillete,0088
11,020,0424,San José del Resplandor (El Capricho),0942
11,020,0529,Estación Trinidad,0942
11,020,0682,Los Olivos (El Nuevo Paraíso),0957
11,020,0990,Campo Verde,0957
11,020,1112,Colonia Maravillas,0957
11,020,1131,Campestre Primavera,0957
11,020,1222,San Isidro de las Colonias,0938
11,020,1384,Fraccionamiento Campestre Lomas del Sur,0961
11,020,1456,Advance Puerto Interior,0957
11,020,1461,PILBA [Parque Industrial],0942
11,020,1494,Balcones de Comanjilla,0904
11,021,0014,Las Peñas,0013
11,021,0021,La Soledad,0013
11,022,0040,Jesús María,0063
11,022,0048,El Mezquite,0025
11,022,0083,La Tinaja,0078
11,022,0244,San José del Carmen Sur,0114
11,023,0073,Corrales de Rábago,015A
11,023,0113,La Gavilana,015A
11,023,0125,Guayabo de Ruiz,0018
11,023,0167,Magallanes,0041
11,023,0333,Viborillas de Suárez,0130
11,023,0399,Tarengo de Parras,0056
11,023,0402,San Rafael de Villaseñor,0075
11,023,0492,Miravalle,015A
11,025,0030,San Andrés (San Andrés de Jalpa),0046
11,026,0015,El Escoplo,0039
11,026,0053,San Clemente,0077
11,026,0424,El Tejamanil,0039
11,026,0446,Fraccionamiento Campestre Lomas del Sur,0039
11,027,0035,Buenavista de Valtierra,0267
11,027,0050,El Coecillo,0055
11,027,0055,Cruces,0040
11,027,0056,Cuatro de Altamira,0271
11,027,0059,El Divisador,0483
11,027,0067,El Estanco,0017
11,027,0099,La Ordeña,0036
11,027,0114,Godoy,0248
11,027,0117,Los Razos de Ancón,0021
11,027,0136,San Juan de Razos,006A
11,027,0143,Santa Catarina de Peña,0248
11,027,0147,Santo Domingo,006A
11,027,0151,Sotelo,0286
11,027,0155,El Terrero,0055
11,027,0156,La Tinaja,0267
11,027,0159,Valencia de Cerro Gordo,0055
11,027,0181,Colonia el Cuatro de Altamira,0271
11,027,0416,Ampliación San Vicente de Flores,006A
11,027,0487,Rancho los Ramírez (Fracción el Divisador),0248
11,028,0021,Gervacio Mendoza,0048
11,028,0033,Ojo de Agua de Ballesteros,0160
11,028,0076,Manríquez,0160
11,028,0078,Presa de San Juan,0160
11,028,0137,La Lomita de San José del Carmen,0090
11,028,0140,El Marquesado,0086
11,029,0024,El Colorado,0064
11,029,0069,Pozo Ademado,0098
11,029,0073,Príncipes,0083
11,029,0076,Puerta de Marcial (San Isidro de la Cruz),0064
11,029,0083,Ranchito de los Hernández,0079
11,029,0134,Zacatequillas,0098
11,029,0155,Ex-Hacienda Noria de Alday,0098
11,029,0175,El Cerrito,0098
11,030,0023,San José de los Barcos,0243
11,030,0071,Chirimoya (Estación Chirimoya),014A
11,030,0147,Las Negritas,0135
11,030,0200,El Rosario (La Liebre),0224
11,030,0219,San Isidro de Capellanía,0239
11,030,0229,San José del Rayo,0031
11,030,0289,Miguel Hidalgo (Cueritos),0046
11,030,0765,Ejido Hernández Álvarez,0135
11,030,0767,La Esperanza,014A
11,030,0787,El Vergel y Anexos,0258
11,031,0006,Arroyo Seco,001A
11,031,0009,California,0081
11,031,0014,El Desagüe,0081
11,031,0028,El Lindero (El Lindero Viejo),0081
11,031,0041,La Muralla del Cadillal,0109
11,031,0049,Plan Libertador (El Quemado),0081
11,031,0050,Santa Rita (Puerta de Santa Rita),0081
11,031,0058,San Antonio de Funes,0109
11,031,0066,San Isidro de los Palominos,0109
11,031,0068,San José de la Calera,0081
11,031,0090,Fraccionamiento Pedregal de San Juan,0081
11,031,0293,Cañada de Soto,001A
11,031,0297,Santuario de Santa Rita [Residencial Campestre],0081
11,032,0028,Cruz de la Maza,0021
11,032,0032,La Escondida,0021
11,032,0041,Guadalupe (Hacienda de Guadalupe),0040
11,032,0045,El Huizache de Galomo,0017
11,032,0061,Ojo de Agua del Refugio,0074
11,032,0064,La Palmita del Cinco de Mayo,0021
11,032,0078,El Colorado,0021
11,032,0080,Rancho Nuevo,0055
11,032,0152,Fátima,0040
11,032,0322,Nuevo Cinco de Mayo,0017
11,033,0075,El Jardín,0122
11,033,0129,Nuevo Paso de Vaqueros,018A
11,033,0131,El Patrocinio,0230
11,033,0141,Los Pirules,0118
11,033,0203,San Nicolás del Carmen,0207
11,033,0266,El Charco,0226
11,033,0394,Derramadero Segundo (Infiernillo),0230
11,033,0433,La Laguna,0230
11,033,0461,El Tepetate,0230
11,033,0529,San Pedro,0118
11,033,0778,San Ignacio,0207
11,034,0021,Ortega,0026
11,035,0008,El Carmen de Arriba,0038
11,035,0014,Emiliano Zapata,0038
11,035,0019,Las Fuentes,0038
11,035,0023,Guadalupe,0080
11,035,0027,Jaralillo,0042
11,035,0035,San Antonio de Morales,0080
11,035,0037,El Naranjillo,0023
11,035,0041,Ojo de Agua de Otates,0038
11,035,0062,San José de las Pilas,0038
11,035,0080,La Tinaja,0023
11,037,0074,El Paraíso,0013
11,037,0086,San Francisco Puerta Grande,0121
11,037,0089,El Refugio de los Sauces,0028
11,037,0134,Vallejos,0032
11,037,0227,Mangas de la Estancia,0013
11,037,0489,San Francisco Puerta Grande (Granja Médico),0121
11,037,0652,Lomas del Sur,0028
11,037,0653,Condado de la Pila Segunda Sección [Fraccionamiento],0865
11,037,0659,Fraccionamiento Rinconada el Palmar,0865
11,037,0664,La Deportiva,0121
11,037,0698,Las Colinas [Parque Industrial],0850
11,037,0699,Puerto Interior,0028
11,037,0701,Nesin [Parque Industrial],0032
11,039,0002,El Acebuche,0060
11,039,0012,La Cuesta,0060
11,039,0014,La Esperanza,0060
11,039,0020,Llano Grande,0022
11,039,0023,La Nopalera,0022
11,039,0026,Panales Jamaica (Cañones),0018
11,039,0060,Providencia de la Esperanza,0056
11,039,0081,El Fénix,0056
11,039,0089,Loma Bonita (El Cerrito),0060
11,041,0007,El Comal,0054
11,041,0015,Lagunilla del Encinal,0054
11,041,0061,Bugambilia,0054
11,042,0007,El Borrego,0085
11,042,0010,Cahuageo,0102
11,042,0020,La Compañía,0032
11,042,0069,Potrerillo de Torres,0102
11,042,0074,Puerta de Andaracua,0102
11,042,0083,Rancho Viejo de Torres,0102
11,042,0108,San José de Araceo,0032
11,042,0113,San Manuel Quiriceo,0028
11,042,0115,San Nicolás Parangueo,009A
11,042,0117,Santa Ana,0032
11,042,0162,Ranchito de Paredones,009A
11,042,0190,Puerto de Araceo,0102
11,042,0225,Crucero de Mogotes,0028
11,042,0239,Santiago Apóstol,0032
11,042,0241,El Cerrito Colorado,0032
11,042,0248,Estancia de San Diego,0013
11,042,0325,Valle Esmeralda [Residencial],0102
11,042,0337,Las Flores,0032
11,042,0343,Sendai [Parque Industrial],0028
11,043,0007,Álamos de Martínez,0025
11,043,0045,Milpillas de Santiago,010A
11,043,0058,Panales,0097
11,043,0076,Salitrera,0097
11,043,0084,Tasajillo,0097
11,044,0095,Rivera del Río,0018
11,044,0206,El Tajo del Parral (Tenería de Valdez),0037
11,045,0002,Adjuntas,0072
11,045,0011,San Miguel de las Casitas,0068
11,045,0019,La Laja,0049
11,045,0029,Puerto de Milagro,0068
11,046,0002,Agua Fría,0135
11,046,0003,La Angostura,0031
11,046,0036,El Moral,0120
11,046,0043,Palo Alto,0012
11,046,0052,Puerto del Águila,0012
11,046,0063,Colonia San Antonio,0120
11,046,0078,San Vicente Ciénega,0027
11,046,0090,El Tigre,0012
11,046,0108,El Pastor,0012
11,046,0127,La Cruz del Niño,0120
12,001,0129,Los Órganos de San Agustín (El Quemado),1973
12,001,0242,Bella Vista Papagayo,2045
12,001,0297,El Arenal,1992
12,001,0493,La Arena,2045
12,001,0695,El Progreso de Cacahuatepec,1992
12,003,0033,Nanche Colorado (El Nanche),033A
12,003,0038,San Antonio de los Libres,0306
12,003,0042,San Jerónimo el Grande,0325
12,004,0003,Ahuejutla,0093
12,004,0014,Petlacalancingo,0125
12,006,0070,Pueblo Nuevo Santa María,0276
12,007,0104,El Varal (El Brinco),0184
12,007,0111,La Concordia,0201
12,008,0041,San Juan Teocalcingo,0143
12,009,0004,Cuautipan,0047
12,010,0108,Vicente Guerrero,0137
12,011,0004,Alcholoa,0308
12,011,0030,El Huicón,0327
12,011,0056,La Remonta (La Remonta Grande),0257
12,011,0089,Junta de los Ríos (Las Juntas),0312
12,011,0147,Colonia Vicente Guerrero,0327
12,011,0336,Villa del Carmen,0280
12,012,0092,Plan de Gatica,017A
12,012,0163,Ciénega del Sauce,017A
12,013,0049,Quetzalapa,0143
12,014,0010,Llano de la Puerta,0085
12,014,0011,Llano Real (El Dorado),009A
12,017,0011,El Machito de las Flores,0091
12,017,0014,El Municipio (Tijuanita),0087
12,017,0055,Colonia Vicente Guerrero,0091
12,018,0023,Las Peñas,0065
12,021,0009,La Barra (La Barra de Coyuca),0408
12,021,0027,El Espinalillo,0380
12,021,0053,San Nicolás,0395
12,021,0074,El Camalote,0376
12,022,0473,Los Bayados,0710
12,023,0019,Colonia Miguel Alemán Valdez,0262
12,024,0014,Cuescomapa,0151
12,025,0012,El Líbano,0197
12,026,0013,San Luis,0090
12,028,0036,Cuauhtenango,0288
12,028,0168,El Pinoral,0288
12,028,0208,Buena Vista de las Pilas,0324
12,029,0026,Amojileca,0726
12,029,0030,Carrizal de la Vía,0904
12,029,0097,Colonia General Heliodoro Castillo (Chicahuales),0779
12,029,0100,Omiltemi,0726
12,032,0042,Izotepec,0350
12,032,0057,Ojo de Agua (Ojo de Agua del Progreso),0350
12,032,0075,Puerto Gallo [Campamento],0350
12,034,0007,Atetetla,0228
12,034,0043,Tlapala,029A
12,035,0002,Ahuehuepan,0598
12,035,0003,Colonia Álvaro Obregón,0634
12,035,0015,Platanillo,0615
12,035,0017,Rancho del Cura,062A
12,035,0197,Colonia Ernesto Che Guevara (La Che Guevara),0598
12,036,0008,La Reforma,0082
12,036,0012,La Victoria,0078
12,036,0019,El Capulín,0082
12,036,0024,Chimalapa,0063
12,039,0044,San Juan del Reparo Norte (San Juan del Reparo),0205
12,039,0045,San Juan del Reparo Sur (San Juan del Reparo),0205
12,039,0056,Chacalapa de Bravos,0205
12,040,0354,El Ranchito,0259
12,041,0002,Alacatlatzala,0237
12,041,0064,Ahuejuyo Viejo,0241
12,041,0075,Xkua Xtuti,0222
12,041,0124,San Juan de las Nieves,0222
12,042,0017,Xicomulco,022A
12,043,0010,Chilixtlahuaca,034A
12,043,0015,Juanacatlán,0299
12,044,0053,La Villita,021A
12,045,0029,Las Juntas,0293
12,048,0068,Coyuquilla Norte,0632
12,048,0220,Barra de Potosí,0609
12,048,0309,Puente del Tuzal,0613
12,048,0645,Arroyo Verde,0632
12,049,0016,Santa Teresa,0165
12,050,0011,Placeritos,019A
12,051,0010,Huehuecoyotla,0229
12,052,0096,Mixtecapa,0387
12,052,0106,Barrio de Guadalupe,0387
12,052,0107,Cruz Alta,0387
12,054,0113,El Remance,0292
12,055,0040,San Miguel Guerrero (San Miguel),0374
12,055,0050,Teacalco,0336
12,055,0054,Temaxcalapa,0410
12,055,0118,Minas Viejas,0389
12,056,0052,El Zanate,0259
12,058,0036,Cruz Blanca,0408
12,058,0297,Miahuatepec,0412
12,058,0324,Nueva Esperanza,0380
12,059,0015,San Miguel Tecuiciapan,0316
12,060,0037,Tepacoya,0177
12,061,0019,Zoquiapa,0210
12,062,0008,Jicayán de Tovar,0237
12,062,0009,El Limón Guadalupe,0222
12,062,0065,San José,0241
12,064,0009,La Montaña,0265
12,064,0018,El Tamarindo del Río,0265
12,066,0003,Alpoyecancingo,0255
12,066,0025,Tlatzala,0236
12,066,0028,Tototepec (Yozononi),0255
12,066,0030,Xalatzala,0255
12,070,0005,Tehuaxtitlán,0224
12,070,0006,Xihuitlipa,0192
12,072,0005,Ayotoxtla,0271
12,072,0064,Llano Pericón,0271
12,072,0120,Villa de Guadalupe,0271
12,073,0007,Alita,0442
12,073,0105,Pandacuareo,0508
12,073,0113,La Parota,0438
12,073,0136,La Quiringucua,0442
12,074,0017,Topiltepec,0238
12,075,0002,Ahuelicán,0358
12,075,0105,Azteca,0447
12,076,0010,Barranca Pobre,0020
12,076,0041,Xilotlancingo,0020
12,076,0043,Zontecomapa,0020
12,076,0046,Agua Fría,0020
12,076,0048,El Capulín,0020
12,076,0052,Loma Maguey,0020
12,076,0056,Zilacayota,0020
12,076,0060,Barranca Mina,0020
12,076,0065,Lázaro Cárdenas,0020
12,076,0069,El Mirador,0020
12,076,0070,Puerto Buenavista,0020
12,076,0072,Tierra Colorada,0020
12,076,0078,El Tejocote,0020
12,076,0113,Yerba Santa,0020
12,076,0139,Laguna Seca,0020
12,077,0007,La Ceniza (Loma de Romero),009A
12,081,0025,San José Vista Hermosa,0020
12,081,0041,13 de Septiembre,0020
12,085,0008,El Pitahayo,0053
13,001,0002,Agustín Olvera Sección I [Colonia],0039
13,001,0003,Alcholoya (El Salto de Alcholoya),001A
13,001,0004,Almoloya,0039
13,001,0008,Chauténco,0039
13,001,0015,Metepec Primero,0024
13,001,0016,El Milagro San Simón,0024
13,001,0023,Totoapa el Grande,0024
13,001,0030,Las Palmas,0024
13,001,0031,Metepec Segundo,0024
13,001,0036,Lagunicatlán,0039
13,001,0051,El Transformador,0024
13,001,0061,El Cerrito,0039
13,001,0066,Agustín Olvera Seccíon II [Colonia],0039
13,002,0012,San Pedro Tlachichilco,0017
13,002,0018,Tlaltegco (Venta Quemada),0040
13,002,0021,Tlamimilolpa,0017
13,002,0027,Canales,0017
13,002,0034,San Martín,0017
13,003,0004,Boxaxni,0029
13,003,0007,Cañada Chica Antigua,0029
13,003,0011,Dajiedhi,0029
13,003,0015,La Loma,0090
13,003,0019,El Palomo,0090
13,003,0020,La Peña,0033
13,003,0026,Xideje,0029
13,003,0044,Cuarta Manzana Chicavasco (La Ladera Chicavasco),0090
13,003,0052,El Porvenir,0033
13,004,0002,Ejido de Agua Blanca (Cerro Alto),0026
13,004,0004,Calabazas Primera Sección,0026
13,004,0005,Calabazas Segunda Sección,0011
13,004,0008,Chichicaxtle,0026
13,004,0012,Milpa Vieja (Apulco),0026
13,004,0013,El Palizar,0011
13,004,0014,Ejido de Loma Ancha,0011
13,004,0015,Plan Grande,0026
13,006,0006,Cebolletas,004A
13,006,0007,Cerro Azul,004A
13,006,0009,Deca,0016
13,006,0027,La Salitrera,0035
13,006,0029,San Antonio Corrales,004A
13,006,0030,San Antonio Tezoquipan,0016
13,006,0031,San Francisco Sacachichilco,0020
13,006,0037,La Vega,0020
13,006,0040,Xothé,004A
13,006,0044,Zozea,0020
13,008,0051,Lomas del Pedregal,0025
13,009,0003,Chimilpa,0018
13,009,0004,Fray Francisco,0018
13,009,0006,El Meje,0018
13,009,0008,El Rincón,0018
13,010,0030,Atitalaquia [Parque Industrial],0324
13,010,0032,Tula [Parque Industrial],0324
13,012,0004,Cieneguillas,0066
13,012,0009,La Estancia,0066
13,012,0011,Montecillos,0066
13,012,0015,Paso de Amajac,0032
13,012,0022,Los Sabinos,0013
13,012,0038,Agua Limpia,0066
13,012,0039,Tiltepec,0013
13,012,0071,Cumbre de Santa Catarina,0066
13,013,0002,San José Acoculco,0044
13,013,0009,El Pedregal,0044
13,013,0018,Praderas del Potrero,0044
13,013,0027,Santa Cruz del Tezontle,0010
13,014,0011,Pezmatlán,0037
13,014,0020,Tula,0018
13,015,0004,El Bingú,0015
13,015,0006,El Boxo,0015
13,015,0017,Piedra Chica,0015
13,015,0019,Pozuelos,0072
13,015,0020,San Andrés Daboxtha,0053
13,015,0021,San Antonio Sabanillas,0053
13,015,0022,San Clemente,0015
13,015,0025,San Miguel Jigui,0015
13,015,0027,Santuario (Santuario Mapethé),0015
13,015,0028,El Sauz (Juxmaye),0053
13,015,0031,El Vithe,0015
13,015,0038,La Vega,0015
13,015,0039,Barrio Quixpedhe,0053
13,015,0040,Los Peña,0053
13,015,0087,Cerro Blanco (El Fraile),0049
13,015,0115,Palacios,0015
13,016,0010,Chacalapa,0027
13,016,0012,Guadalupe Victoria,0205
13,016,0024,Las Puentes,0027
13,016,0028,San Lorenzo Sayula,0205
13,016,0035,Tezoquipa,0205
13,016,0114,Arboledas,0027
13,017,0005,Bathi,0024
13,017,0012,San José el Marqués (Escandón),0039
13,017,0013,Nueva Santa Lucía,0039
13,017,0015,San Juan el Sabino,0024
13,017,0022,Zimapantongo,0024
13,022,0004,El Guajolote,001A
13,022,0010,El Nopalillo,001A
13,022,0019,San Miguel Nopalapa,0024
13,022,0037,San José Chavarría,001A
13,022,0073,El Pinillo,001A
13,022,0091,Xochihuacán [Fraccionamiento],0024
13,022,0092,El Rialejo,001A
13,023,0005,Dengantzha,0017
13,023,0006,Doctor José G. Parres,0017
13,024,0002,Aguacatitla (El Campamento),0029
13,024,0017,El Peral,0033
13,024,0022,San Bartolomé (San Bartolo),0014
13,024,0025,San José Ocotillos,0014
13,024,0027,San Miguel Regla,0048
13,024,0034,Santo Domingo Agua Zarca,0048
13,024,0035,Santo Tomás Allende,0014
13,024,0036,San Lorenzo el Zembo,0048
13,024,0038,Tlaxocoyucan,0033
13,024,0042,San Miguel Cacaloapan,0048
13,024,0088,San Juan Tlaxocoyucan,0033
13,025,0018,Chalingo,0011
13,025,0028,La Mesa,0045
13,025,0040,Tecoluco Calpan,0011
13,025,0060,La Puerta,0011
13,025,0069,La Loma,0045
13,026,0039,Tlamamala,0019
13,026,0041,La Ceiba,0019
13,027,0020,Juntas Chicas,0020
13,027,0050,Río Beltrán,0020
13,028,0028,Cochiscuatitla las Chacas,0013
13,028,0030,Contépec,0047
13,028,0031,La Corrala,0013
13,028,0035,Cruztitla,0013
13,028,0045,El Chote,0051
13,028,0062,Machetla,0047
13,028,0075,Poxtla Coacuilco,0047
13,028,0076,Buena Vista,0047
13,028,0106,Xochitzintla,0013
13,029,0005,Boye,003A
13,029,0022,La Sabinita,0044
13,029,0084,Santa Bárbara,0078
13,030,0002,El Alberto,0045
13,030,0003,Arenalito,0030
13,030,0011,Cuesta Colorada,0011
13,030,0014,El Dexthi San Juanico,0026
13,030,0016,Dios Padre,005A
13,030,0019,La Estación,0030
13,030,0031,Nequeteje,0030
13,030,0032,El Nith,0026
13,030,0033,El Olivo,0030
13,030,0046,El Tablón,005A
13,030,0050,Cañada Chica,005A
13,030,0051,Chalmita,0030
13,030,0075,El Deca,0045
13,030,0096,Ex-Hacienda de Ocotza,005A
13,030,0097,General Felipe Ángeles [Colonia],0026
13,030,0146,Colonia del Valle Remedios,0030
13,030,0153,La Joya [Colonia],0026
13,031,0009,Coñecito,0042
13,031,0011,Los Duraznos,0019
13,031,0020,Minas Viejas,0057
13,031,0033,San Nicolás,0042
13,035,0005,Cañada de Flores,0018
13,035,0006,El Casco,0018
